fincode,invdate,noshares,percent_aum,schemecode
100180,2026-05-31,15481600,5.18,3461
100114,2026-05-31,2123200,3.89,3461
100247,2026-05-31,20786000,3.59,3461
223595,2026-05-31,1909000,3.48,3461
132454,2026-05-31,4182300,3.44,3461
132541,2026-05-31,5330000,3.41,3461
210590,2026-05-31,1368600,3.20,3461
132777,2026-05-31,7130500,3.19,3461
210072,2026-05-31,608990,3.15,3461
216156,2026-05-31,1366500,2.49,3461
100251,2026-05-31,1295200,2.46,3461
100520,2026-05-31,1638950,2.24,3461
105200,2026-05-31,691250,2.23,3461
132500,2026-05-31,369460,2.18,3461
211337,2026-05-31,491910,2.10,3461
218763,2026-05-31,2560250,1.85,3461
279664,2026-05-31,3415608,1.83,3461
132830,2026-05-31,2565368,1.82,3461
132331,2026-05-31,1334614,1.76,3461
100420,2026-05-31,693500,1.37,3461
132488,2026-05-31,427300,1.28,3461
100331,2026-05-31,1898500,1.27,3461
131642,2026-05-31,3116000,1.15,3461
100790,2026-05-31,1780700,1.14,3461
106076,2026-05-31,1364000,1.13,3461
100093,2026-05-31,2608000,1.08,3461
229238,2026-05-31,1569000,1.03,3461
100820,2026-05-31,855500,1.03,3461
117354,2026-05-31,1880000,0.99,3461
286335,2026-05-31,2229000,0.99,3461
109480,2026-05-31,4306200,0.97,3461
123642,2026-05-31,742057,0.93,3461
124494,2026-05-31,1240000,0.85,3461
131768,2026-05-31,1400000,0.85,3461
235355,2026-05-31,788274,0.80,3461
100387,2026-05-31,69650,0.79,3461
267615,2026-05-31,1276000,0.77,3461
123395,2026-05-31,46600,0.69,3461
105790,2026-05-31,349500,0.65,3461
215367,2026-05-31,3212600,0.62,3461
290269,2026-05-31,650600,0.59,3461
208727,2026-05-31,1280000,0.59,3461
301912,2026-05-31,1640000,0.59,3461
222255,2026-05-31,864617,0.54,3461
132827,2026-05-31,29470,0.51,3461
305013,2026-05-31,28563230,0.50,3461
228465,2026-05-31,1959838,0.43,3461
233156,2026-05-31,1700000,0.40,3461
211969,2026-05-31,1304350,0.35,3461
297629,2026-05-31,1676439,0.33,3461
209373,2026-05-31,1415770,0.28,3461
100209,2026-05-31,331900,0.17,3461
115003,2026-05-31,6154,0.00,3461
217805,2026-05-31,161752,0.00,3461
112424,2026-05-31,6325000,0.00,3461
116068,2026-05-31,445050,0.00,3461
279527,2026-05-31,20500000,2.33,2796
132155,2026-05-31,23350297,2.10,2796
209967,2026-05-31,8200000,1.98,2796
132523,2026-05-31,7920476,1.86,2796
209373,2026-05-31,7000000,1.69,2796
100312,2026-05-31,11500000,1.67,2796
132174,2026-05-31,2320000,1.59,2796
132720,2026-05-31,9232926,1.53,2796
100247,2026-05-31,6696701,1.41,2796
100084,2026-05-31,13544608,1.35,2796
100325,2026-05-31,1720000,1.24,2796
297629,2026-05-31,5200000,1.23,2796
132461,2026-05-31,21000000,1.22,2796
112070,2026-05-31,3260348,1.15,2796
296214,2026-05-31,30500000,1.14,2796
100180,2026-05-31,2662000,1.08,2796
205198,2026-05-31,1083750,1.06,2796
289108,2026-05-31,4044368,1.00,2796
216369,2026-05-31,22800000,0.98,2796
117334,2026-05-31,12000000,0.96,2796
132630,2026-05-31,2180000,0.82,2796
130117,2026-05-31,454805,0.81,2796
130965,2026-05-31,10000000,0.77,2796
100113,2026-05-31,6173203,0.69,2796
