fincode,invdate,percent_aum,schemecode
1134410,2026-05-31,0.72,1286
1133169,2026-05-31,0.66,1286
1133506,2026-05-31,0.59,1286
1134449,2026-05-31,0.44,1286
1130673,2026-05-31,0.37,1286
1133868,2026-05-31,0.37,1286
1134386,2026-05-31,0.36,1286
1134432,2026-05-31,0.36,1286
1134406,2026-05-31,0.29,1286
1132063,2026-05-31,0.22,1286
1129431,2026-05-31,0.15,1286
1133928,2026-05-31,0.15,1286
1131871,2026-05-31,0.07,1286
1133117,2026-05-31,2.20,1286
1133735,2026-05-31,2.19,1286
1133486,2026-05-31,1.90,1286
1133710,2026-05-31,1.83,1286
1133440,2026-05-31,1.47,1286
1133741,2026-05-31,1.46,1286
1134486,2026-05-31,1.44,1286
1133708,2026-05-31,1.31,1286
1133215,2026-05-31,1.10,1286
1133124,2026-05-31,1.10,1286
1134269,2026-05-31,1.09,1286
1134452,2026-05-31,1.08,1286
1133877,2026-05-31,0.87,1286
1133186,2026-05-31,0.81,1286
1133489,2026-05-31,0.73,1286
1133441,2026-05-31,0.73,1286
1133490,2026-05-31,0.73,1286
1133491,2026-05-31,0.73,1286
1133492,2026-05-31,0.73,1286
1133719,2026-05-31,0.73,1286
1133740,2026-05-31,0.73,1286
1133973,2026-05-31,0.73,1286
1134263,2026-05-31,0.73,1286
1134211,2026-05-31,0.72,1286
1134509,2026-05-31,0.72,1286
1134439,2026-05-31,0.72,1286
1131607,2026-05-31,0.61,1286
1133309,2026-05-31,0.59,1286
1133753,2026-05-31,0.59,1286
1133707,2026-05-31,0.58,1286
1134447,2026-05-31,0.55,1286
1134445,2026-05-31,0.54,1286
1133493,2026-05-31,0.51,1286
1133487,2026-05-31,0.51,1286
1133974,2026-05-31,0.45,1286
1133754,2026-05-31,0.44,1286
1133755,2026-05-31,0.44,1286
1133875,2026-05-31,0.44,1286
1133736,2026-05-31,0.44,1286
1133161,2026-05-31,0.37,1286
1133881,2026-05-31,0.37,1286
1133717,2026-05-31,0.37,1286
1133718,2026-05-31,0.37,1286
1134491,2026-05-31,0.37,1286
1133494,2026-05-31,0.37,1286
1133757,2026-05-31,0.36,1286
1133759,2026-05-31,0.36,1286
1133939,2026-05-31,0.36,1286
1134389,2026-05-31,0.36,1286
1134450,2026-05-31,0.36,1286
1134510,2026-05-31,0.36,1286
1129872,2026-05-31,0.29,1286
1133496,2026-05-31,0.29,1286
1133432,2026-05-31,0.29,1286
1133497,2026-05-31,0.29,1286
1133878,2026-05-31,0.29,1286
1133760,2026-05-31,0.29,1286
1134451,2026-05-31,0.29,1286
1134435,2026-05-31,0.29,1286
1134511,2026-05-31,0.29,1286
1133310,2026-05-31,0.26,1286
1133311,2026-05-31,0.22,1286
